1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
68664,3544,2417,4405,9379,21793,2287,2998,5544,15792,11186,2660,5146,22257,2246,1891,2342,6301,1891,8568,5427,3426,2767,5346,2411,2054,1737,2031,2215,2651
3544,232934,3095,4626,2926,2096,2248,4185,4706,1635,5065,2210,3494,1505,3038,2108,2934,2338,4911,3100,4443,3197,3007,1606,2801,1251,3238,2450,3362,1668
2417,3095,158908,2073,2127,1809,3161,12750,2852,1659,2759,1924,2093,1684,9020,10048,2512,1662,2708,2113,2202,1476,1899,1739,2245,1760,2581,2795,2662,1808
4405,4626,2073,158830,6304,5163,1318,2759,1958,5307,6691,1313,4978,4750,2700,2439,1767,2948,3519,3152,1685,1741,1739,3378,1937,1670,2019,1347,1990,1574
9379,2926,2127,6304,188708,13867,1590,2662,3000,19783,8130,1656,5932,8696,2591,2594,2124,7738,1722,8449,2908,3406,2250,6874,2421,1918,2300,1352,2339,1962
21793,2096,1809,5163,13867,167422,1174,2251,2189,27102,7471,1381,5039,18642,2091,1585,1537,7864,1005,7579,2305,2199,1402,5573,1861,1222,1341,853,1765,1390
2287,2248,3161,1318,1590,1174,242363,2294,6441,992,3410,4555,1429,938,1575,1498,73296,1079,1427,1579,5238,2600,2801,845,26437,2747,15033,5145,15196,3856
2998,4185,12750,2759,2662,2251,2294,235492,2947,1928,3261,1788,2806,1988,62777,8541,2629,1998,3026,2502,2606,1801,2189,2019,2447,1610,2826,2089,2958,1740
5544,4706,2852,1958,3000,2189,6441,2947,343401,1381,2907,102953,4097,1342,1857,1586,10137,2851,3101,4797,109559,7821,11312,1750,8076,23399,5316,84951,8055,41243
15792,1635,1659,5307,19783,27102,992,1928,1381,192000,9753,1044,3084,49362,2111,1923,1371,3675,1185,4464,1128,984,960,4720,1398,936,1246,970,1383,886
11186,5065,2759,6691,8130,7471,3410,3261,2907,9753,276902,2121,4781,12860,2990,2830,2931,4277,4457,6538,2135,1575,2237,7183,2760,2060,2953,2285,3149,2107
2660,2210,1924,1313,1656,1381,4555,1788,102953,1044,2121,264353,1825,1053,1406,1036,8021,1563,1582,2172,71649,3799,5505,1107,6175,33680,3934,64787,7126,77309
5146,3494,2093,4978,5932,5039,1429,2806,4097,3084,4781,1825,256971,2427,2141,1813,1790,8710,1559,8159,4319,4951,2699,4413,1818,1329,1889,1283,2229,1532
22257,1505,1684,4750,8696,18642,938,1988,1342,49362,12860,1053,2427,192105,2140,1989,1092,3152,1135,3942,1020,845,954,4370,1049,737,1141,1063,1323,768
2246,3038,9020,2700,2591,2091,1575,62777,1857,2111,2990,1406,2141,2140,266413,7571,2025,1435,2849,1796,1471,1217,1495,1938,1912,1076,2388,1571,2650,1100
1891,2108,10048,2439,2594,1585,1498,8541,1586,1923,2830,1036,1813,1989,7571,279715,1599,1253,1560,1401,1236,1090,1238,1687,1558,889,2293,1317,2222,859
2342,2934,2512,1767,2124,1537,73296,2629,10137,1371,2931,8021,1790,1092,2025,1599,298637,1197,2376,1621,6485,4161,4242,1192,73106,5915,13599,7467,21820,7762
6301,2338,1662,2948,7738,7864,1079,1998,2851,3675,4277,1563,8710,3152,1435,1253,1197,220957,906,42853,3550,4957,1934,15177,1203,988,1169,828,1293,1295
1891,4911,2708,3519,1722,1005,1427,3026,3101,1185,4457,1582,1559,1135,2849,1560,2376,906,686967,1748,2042,1079,2357,1303,2071,753,2895,2569,2910,928
8568,3100,2113,3152,8449,7579,1579,2502,4797,4464,6538,2172,8159,3942,1796,1401,1621,42853,1748,254772,4870,5162,2859,26711,1684,1340,1433,1533,1596,1704
5427,4443,2202,1685,2908,2305,5238,2606,109559,1128,2135,71649,4319,1020,1471,1236,6485,3550,2042,4870,78131,9567,9683,1396,6567,22924,4074,98839,5746,39571
3426,3197,1476,1741,3406,2199,2600,1801,7821,984,1575,3799,4951,845,1217,1090,4161,4957,1079,5162,9567,346027,5884,1316,5048,4239,3166,3312,3857,5027
2767,3007,1899,1739,2250,1402,2801,2189,11312,960,2237,5505,2699,954,1495,1238,4242,1934,2357,2859,9683,5884,419770,1247,4385,3748,3890,8779,4707,5023
5346,1606,1739,3378,6874,5573,845,2019,1750,4720,7183,1107,4413,4370,1938,1687,1192,15177,1303,26711,1396,1316,1247,358948,1145,761,1305,995,1417,852
2411,2801,2245,1937,2421,1861,26437,2447,8076,1398,2760,6175,1818,1049,1912,1558,73106,1203,2071,1684,6567,5048,4385,1145,481612,10237,13721,5072,21244,12214
2054,1251,1760,1670,1918,1222,2747,1610,23399,936,2060,33680,1329,737,1076,889,5915,988,753,1340,22924,4239,3748,761,10237,509603,4655,14183,4590,125295
1737,3238,2581,2019,2300,1341,15033,2826,5316,1246,2953,3934,1889,1141,2388,2293,13599,1169,2895,1433,4074,3166,3890,1305,13721,4655,358850,6097,23678,4105
2031,2450,2795,1347,1352,853,5145,2089,84951,970,2285,64787,1283,1063,1571,1317,7467,828,2569,1533,98839,3312,8779,995,5072,14183,6097,432552,9553,20675
2215,3362,2662,1990,2339,1765,15196,2958,8055,1383,3149,7126,2229,1323,2650,2222,21820,1293,2910,1596,5746,3857,4707,1417,21244,4590,23678,9553,339175,4939
2651,1668,1808,1574,1962,1390,3856,1740,41243,886,2107,77309,1532,768,1100,859,7762,1295,928,1704,39571,5027,5023,852,12214,125295,4105,20675,4939,481503
